Name,Nature Museum
Startdatum,11.04.16
Enddatum,03.10.16

Datum,Downloads insgesamt
11.04.16,0.0
18.04.16,0.0
25.04.16,0.0
02.05.16,0.0
09.05.16,2.0
16.05.16,0.0
23.05.16,0.0
30.05.16,1.0
06.06.16,0.0
13.06.16,0.0
20.06.16,0.0
27.06.16,1.0
04.07.16,0.0
11.07.16,1.0
18.07.16,1.0
25.07.16,0.0
01.08.16,1.0
08.08.16,0.0
15.08.16,0.0
22.08.16,1.0
29.08.16,0.0
05.09.16,0.0
12.09.16,0.0
19.09.16,0.0
26.09.16,1.0
03.10.16,0.0
